feature,importance
gmrt_in_air17,0.01520353538916818
total_time23,0.014048747140847348
air_time23,0.013967394378518082
air_time16,0.013310016691197812
total_time6,0.01176196687362042
total_time15,0.010888197243886089
total_time16,0.010219552294040545
paper_time17,0.010024920355561498
air_time15,0.009644262385891838
total_time13,0.008739374206304633
mean_speed_in_air17,0.008671807925085285
pressure_var19,0.008583596032854947
total_time3,0.008540024869072656
gmrt_in_air7,0.00843915211844069
num_of_pendown19,0.008343267513515338
paper_time23,0.008292409747058662
mean_speed_on_paper17,0.008235175453434308
mean_gmrt17,0.007963416327086179
mean_gmrt7,0.007828856572544804
mean_jerk_in_air17,0.0078104360768354655
paper_time6,0.007538474676811344
total_time8,0.007383705394506954
total_time2,0.007050939307233931
disp_index23,0.006940691791779826
total_time9,0.006915790943841153
total_time22,0.006704950880200972
disp_index22,0.006666904807647621
paper_time9,0.006619752884582274
paper_time2,0.006501060198580784
max_x_extension25,0.006206314501392809
num_of_pendown9,0.006134230977571756
mean_speed_on_paper8,0.0059891823468300005
mean_gmrt8,0.005979460738321366
total_time24,0.005920401221094576
gmrt_on_paper17,0.005888389363382567
air_time24,0.005759255874502907
disp_index2,0.005743946421565803
total_time17,0.005724051658734795
mean_acc_in_air17,0.0056023280377494895
mean_speed_on_paper11,0.005401307348789616
air_time13,0.00528369810215787
mean_jerk_on_paper24,0.005268043278678148
pressure_mean4,0.00522198989203248
total_time5,0.005221233424455916
pressure_var4,0.005160159952000559
mean_jerk_in_air7,0.005113439381470027
paper_time3,0.005011876798589069
disp_index8,0.0049409189210474075
mean_speed_in_air23,0.0048765278583367475
pressure_mean7,0.004861397023844655
